modelo,cilindrada,potencia,combustible,revoluciones,cilindros,longitud,ancho,altura,maletero,peso,plazas,velocidad,poca_aceleracion,traccion,consumo,coste.Km,precio,marca,precio_categ
'ALFA ROMEO-Alfa 164 2.0 TS',"Cil_(1.8e+03,2e+03]","Pot_(130,180]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(450,480]","Anch_(175,200]","Alt_(139,141]","Malet_(500,700]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",Delantera,"Cons_(11.3,20]","Cost_(15,17.5]",3120,ALFA ROMEO,expensive
'ALFA ROMEO-Alfa 164 2.5 TD',"Cil_(2e+03,2.6e+03]","Pot_(105,130]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(450,480]","Anch_(175,200]","Alt_(139,141]","Malet_(500,700]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(185,200]","Acel_(9.7,11]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",3967,ALFA ROMEO,expensive
'ALFA ROMEO-Alfa 164 3.0 V-6 QV',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_6,"Long_(450,480]","Anch_(175,200]","Alt_(139,141]","Malet_(500,700]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(220,350]","Acel_(4.5,8.3]",Delantera,"Cons_(9.5,11.3]","Cost_(15,17.5]",5562,ALFA ROMEO,luxury
'ALFA ROMEO-Alfa 164 3.0 V6',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(5.5e+03,5.7e+03]",Ncil_6,"Long_(450,480]","Anch_(175,200]","Alt_(139,141]","Malet_(500,700]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(220,350]","Acel_(4.5,8.3]",Delantera,"Cons_(11.3,20]","Cost_(17.5,30]",4800,ALFA ROMEO,expensive
'ALFA ROMEO-Alfa 33 1.3',"Cil_(900,1.5e+03]","Pot_(75,105]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(400,430]","Anch_(160,168]","Alt_(110,136]","Malet_(280,400]","Pes_(640,940]",Plaz_5,"Vel_(170,185]","Acel_(9.7,11]",Delantera,"Cons_(7.6,8.5]","Cost_(11.5,13.5]",1587,ALFA ROMEO,cheap
'ALFA ROMEO-Alfa 33 1.5 IE',"Cil_(900,1.5e+03]","Pot_(75,105]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(400,430]","Anch_(160,168]","Alt_(110,136]","Malet_(280,400]","Pes_(940,1e+03]",Plaz_5,"Vel_(170,185]","Acel_(9.7,11]",Delantera,"Cons_(8.5,9.5]","Cost_(11.5,13.5]",1698,ALFA ROMEO,cheap
'ALFA ROMEO-Alfa 33 1.7 IE',"Cil_(1.5e+03,1.8e+03]","Pot_(105,130]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(400,430]","Anch_(160,168]","Alt_(110,136]","Malet_(280,400]","Pes_(940,1e+03]",Plaz_5,"Vel_(185,200]","Acel_(8.3,9.7]",Delantera,"Cons_(8.5,9.5]","Cost_(13.5,15]",1882,ALFA ROMEO,medium
'ALFA ROMEO-Alfa 33 16v',"Cil_(1.5e+03,1.8e+03]","Pot_(130,180]",Gasolina,"Rev_(6e+03,7.5e+03]",Ncil_4,"Long_(400,430]","Anch_(160,168]","Alt_(110,136]","Malet_(280,400]","Pes_(940,1e+03]",Plaz_5,"Vel_(200,220]","Acel_(4.5,8.3]",Delantera,"Cons_(8.5,9.5]","Cost_(13.5,15]",2182,ALFA ROMEO,medium
'ALFA ROMEO-Alfa 75 1.6 IE',"Cil_(1.5e+03,1.8e+03]","Pot_(105,130]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(430,450]","Anch_(160,168]","Alt_(139,141]","Malet_(450,500]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(170,185]","Acel_(11,13.5]",Trasera,"Cons_(7.6,8.5]","Cost_(13.5,15]",1992,ALFA ROMEO,medium
'ALFA ROMEO-Alfa 75 1.8 IE',"Cil_(1.5e+03,1.8e+03]","Pot_(105,130]",Gasolina,"Rev_(5e+03,5.5e+03]",Ncil_4,"Long_(430,450]","Anch_(160,168]","Alt_(139,141]","Malet_(450,500]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(185,200]","Acel_(9.7,11]",Trasera,"Cons_(8.5,9.5]","Cost_(13.5,15]",2212,ALFA ROMEO,medium
'ALFA ROMEO-Alfa 75 1.8 Turbo Am�rica',"Cil_(1.5e+03,1.8e+03]","Pot_(130,180]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(430,450]","Anch_(160,168]","Alt_(139,141]","Malet_(280,400]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(200,220]","Acel_(4.5,8.3]",Trasera,"Cons_(7.6,8.5]","Cost_(15,17.5]",2957,ALFA ROMEO,medium
'ALFA ROMEO-Alfa 75 2.0 TD',"Cil_(1.8e+03,2e+03]","Pot_(75,105]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(430,450]","Anch_(160,168]","Alt_(139,141]","Malet_(450,500]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(170,185]","Acel_(11,13.5]",Trasera,"Cons_(7.6,8.5]","Cost_(6.5,11.5]",2502,ALFA ROMEO,medium
'ALFA ROMEO-Alfa 75 2.0 Twin Spark',"Cil_(1.8e+03,2e+03]","Pot_(130,180]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(430,450]","Anch_(160,168]","Alt_(139,141]","Malet_(450,500]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(200,220]","Acel_(4.5,8.3]",Trasera,"Cons_(8.5,9.5]","Cost_(15,17.5]",2607,ALFA ROMEO,medium
'ALFA ROMEO-Alfa 75 2.4 TD',"Cil_(2e+03,2.6e+03]","Pot_(105,130]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(430,450]","Anch_(160,168]","Alt_(139,141]","Malet_(450,500]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(170,185]","Acel_(11,13.5]",Trasera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",2782,ALFA ROMEO,medium
'ALFA ROMEO-Alfa 75 3.0 V6 Q',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_6,"Long_(430,450]","Anch_(160,168]","Alt_(139,141]","Malet_(280,400]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(220,350]","Acel_(4.5,8.3]",Trasera,"Cons_(11.3,20]","Cost_(17.5,30]",3719,ALFA ROMEO,expensive
'AUDI-100 CD',"Cil_(2e+03,2.6e+03]","Pot_(130,180]",Gasolina,"Rev_(5e+03,5.5e+03]",Ncil_5,"Long_(450,480]","Anch_(175,200]","Alt_(141,143]","Malet_(500,700]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(200,220]","Acel_(9.7,11]",Delantera,"Cons_(9.5,11.3]","Cost_(15,17.5]",3535,AUDI,expensive
'AUDI-200 Turbo',"Cil_(2e+03,2.6e+03]","Pot_(180,500]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_5,"Long_(450,480]","Anch_(175,200]","Alt_(141,143]","Malet_(500,700]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(220,350]","Acel_(4.5,8.3]",Delantera,"Cons_(11.3,20]","Cost_(17.5,30]",5835,AUDI,luxury
'AUDI-200 Turbo Quattro',"Cil_(2e+03,2.6e+03]","Pot_(180,500]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_5,"Long_(450,480]","Anch_(175,200]","Alt_(141,143]","Malet_(500,700]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(220,350]","Acel_(4.5,8.3]",4x4,"Cons_(11.3,20]","Cost_(17.5,30]",6590,AUDI,luxury
'AUDI-80 1.8 E',"Cil_(1.5e+03,1.8e+03]","Pot_(105,130]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(430,450]","Anch_(168,170]","Alt_(136,139]","Malet_(450,500]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(185,200]","Acel_(9.7,11]",Delantera,"Cons_(8.5,9.5]","Cost_(13.5,15]",2738,AUDI,medium
'AUDI-80 TD',"Cil_(1.5e+03,1.8e+03]","Pot_(75,105]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(430,450]","Anch_(168,170]","Alt_(136,139]","Malet_(450,500]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(170,185]","Acel_(13.5,25]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",2821,AUDI,medium
'AUDI-90 2.0 20v Front',"Cil_(1.8e+03,2e+03]","Pot_(130,180]",Gasolina,"Rev_(6e+03,7.5e+03]",Ncil_5,"Long_(430,450]","Anch_(168,170]","Alt_(136,139]","Malet_(450,500]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",Delantera,"Cons_(9.5,11.3]","Cost_(15,17.5]",4162,AUDI,expensive
'AUDI-90 2.0 20v Quattro',"Cil_(1.8e+03,2e+03]","Pot_(130,180]",Gasolina,"Rev_(6e+03,7.5e+03]",Ncil_5,"Long_(430,450]","Anch_(168,170]","Alt_(136,139]","Malet_(280,400]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",4x4,"Cons_(9.5,11.3]","Cost_(15,17.5]",4718,AUDI,expensive
'AUDI-90 2.2 E',"Cil_(2e+03,2.6e+03]","Pot_(130,180]",Gasolina,"Rev_(5.5e+03,5.7e+03]",Ncil_5,"Long_(430,450]","Anch_(168,170]","Alt_(136,139]","Malet_(450,500]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",Delantera,"Cons_(9.5,11.3]","Cost_(15,17.5]",3046,AUDI,expensive
'AUDI-90 2.2 Quattro',"Cil_(2e+03,2.6e+03]","Pot_(130,180]",Gasolina,"Rev_(5.5e+03,5.7e+03]",Ncil_5,"Long_(430,450]","Anch_(168,170]","Alt_(136,139]","Malet_(450,500]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",4x4,"Cons_(9.5,11.3]","Cost_(15,17.5]",4040,AUDI,expensive
'AUDI-90 2.3 20v',"Cil_(2e+03,2.6e+03]","Pot_(130,180]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_5,"Long_(430,450]","Anch_(168,170]","Alt_(136,139]","Malet_(450,500]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",Delantera,"Cons_(9.5,11.3]","Cost_(15,17.5]",4308,AUDI,expensive
'AUDI-90 2.3 20v Quattro',"Cil_(2e+03,2.6e+03]","Pot_(130,180]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_5,"Long_(430,450]","Anch_(168,170]","Alt_(136,139]","Malet_(280,400]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",4x4,"Cons_(9.5,11.3]","Cost_(15,17.5]",4865,AUDI,expensive
'AUDI-90 2.3 E',"Cil_(2e+03,2.6e+03]","Pot_(130,180]",Gasolina,"Rev_(5e+03,5.5e+03]",Ncil_5,"Long_(430,450]","Anch_(168,170]","Alt_(136,139]","Malet_(450,500]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",Delantera,"Cons_(9.5,11.3]","Cost_(15,17.5]",3439,AUDI,expensive
'AUDI-90 2.3 Quattro',"Cil_(2e+03,2.6e+03]","Pot_(130,180]",Gasolina,"Rev_(5e+03,5.5e+03]",Ncil_5,"Long_(430,450]","Anch_(168,170]","Alt_(136,139]","Malet_(450,500]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",4x4,"Cons_(9.5,11.3]","Cost_(15,17.5]",4180,AUDI,expensive
'AUDI-Coupe 2.0 20v Front',"Cil_(1.8e+03,2e+03]","Pot_(130,180]",Gasolina,"Rev_(6e+03,7.5e+03]",Ncil_5,"Long_(430,450]","Anch_(170,175]","Alt_(136,139]","Malet_(280,400]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",Delantera,"Cons_(9.5,11.3]","Cost_(15,17.5]",4441,AUDI,expensive
'AUDI-Coupe 2.0 20v Quattro',"Cil_(1.8e+03,2e+03]","Pot_(130,180]",Gasolina,"Rev_(6e+03,7.5e+03]",Ncil_5,"Long_(430,450]","Anch_(170,175]","Alt_(136,139]","Malet_[0,280]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",4x4,"Cons_(9.5,11.3]","Cost_(15,17.5]",4998,AUDI,expensive
'AUDI-Coupe 2.2 E',"Cil_(2e+03,2.6e+03]","Pot_(130,180]",Gasolina,"Rev_(5.5e+03,5.7e+03]",Ncil_5,"Long_(430,450]","Anch_(170,175]","Alt_(136,139]","Malet_(280,400]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",Delantera,"Cons_(9.5,11.3]","Cost_(15,17.5]",3841,AUDI,expensive
'AUDI-Coupe 2.2 Quattro',"Cil_(2e+03,2.6e+03]","Pot_(130,180]",Gasolina,"Rev_(5.5e+03,5.7e+03]",Ncil_5,"Long_(430,450]","Anch_(170,175]","Alt_(136,139]","Malet_(280,400]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",4x4,"Cons_(9.5,11.3]","Cost_(15,17.5]",4578,AUDI,expensive
'AUDI-Coupe 2.3 20v',"Cil_(2e+03,2.6e+03]","Pot_(130,180]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_5,"Long_(430,450]","Anch_(170,175]","Alt_(136,139]","Malet_(280,400]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",Delantera,"Cons_(9.5,11.3]","Cost_(15,17.5]",4626,AUDI,expensive
'AUDI-Coupe 2.3 20v Quattro',"Cil_(2e+03,2.6e+03]","Pot_(130,180]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_5,"Long_(430,450]","Anch_(170,175]","Alt_(136,139]","Malet_[0,280]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",4x4,"Cons_(9.5,11.3]","Cost_(15,17.5]",5186,AUDI,luxury
'AUDI-Coupe 2.3 E',"Cil_(2e+03,2.6e+03]","Pot_(130,180]",Gasolina,"Rev_(5e+03,5.5e+03]",Ncil_5,"Long_(430,450]","Anch_(170,175]","Alt_(136,139]","Malet_(280,400]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",Delantera,"Cons_(9.5,11.3]","Cost_(15,17.5]",4044,AUDI,expensive
'AUDI-Coupe 2.3 Quattro',"Cil_(2e+03,2.6e+03]","Pot_(130,180]",Gasolina,"Rev_(5e+03,5.5e+03]",Ncil_5,"Long_(430,450]","Anch_(170,175]","Alt_(136,139]","Malet_(280,400]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",4x4,"Cons_(9.5,11.3]","Cost_(15,17.5]",4784,AUDI,expensive
'AUDI-V-8',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_8,"Long_(480,550]","Anch_(175,200]","Alt_(141,143]","Malet_(500,700]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(220,350]","Acel_(8.3,9.7]",4x4,"Cons_(11.3,20]","Cost_(17.5,30]",9760,AUDI,luxury
'BENTLEY-Continental',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(3.8e+03,5e+03]",Ncil_8,"Long_(480,550]","Anch_(175,200]","Alt_(143,200]","Malet_(280,400]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(200,220]","Acel_(9.7,11]",Trasera,"Cons_(11.3,20]","Cost_(17.5,30]",34173,BENTLEY,luxury
'BENTLEY-Eight',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(3.8e+03,5e+03]",Ncil_8,"Long_(480,550]","Anch_(175,200]","Alt_(143,200]","Malet_(500,700]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(200,220]","Acel_(9.7,11]",Trasera,"Cons_(11.3,20]","Cost_(17.5,30]",18066,BENTLEY,luxury
