Countries,Observation weights,PC1-PC2 inertia (%),PC2-PC3 inertia (%),PC1-PC3 inertia (%)
Argentine,0.021,60.11,30.76,63.01
Australie,0.007,33.82,52.51,53.74
Autriche,0.028,69.03,60.04,40.22
Belgique,0.011,62.07,59.84,62.96
Bolivie,0.022,93.96,25.92,96.86
Bresil,0.006,81.31,63.12,76.31
Canada,0.032,91.94,42.1,85.89
Chili,0.032,67.8,59.75,41.79
Colombie,0.032,83.39,41.94,87.75
Costa-Rica,0.033,89.25,79.83,47.31
Cuba,0.03,98.64,74.48,65.46
Danemark,0.023,88.08,43.28,94.97
Rep.Dominic,0.023,82.22,82.59,45.97
Equateur,0.006,89.16,56.91,72.89
Egypte,0.034,77.03,68.97,78.55
Espagne,0.023,13.07,69.71,70.82
Etats-Unis,0.001,54.58,31.45,52.86
Finiande,0.022,73.33,55.5,90.37
France,0.017,63.48,53.26,52.93
Guatemala,0.005,93.51,53.45,82.23
Grece,0.001,79.88,75.14,27.11
Honduras,0.039,82.27,52.58,82.62
Inde,0.003,38.37,35.55,16.56
Irak,0.038,68.13,44.26,81.05
Irlande,0.004,74.28,62.3,94.96
Italie,0.01,43.71,7.69,43.12
Japon,0.021,55.52,68.81,87.92
Libye,0.032,68.2,82.42,50.14
Luxembourg,0.012,90.77,17.55,89.78
Nicaragua,0.008,79.48,79.86,51.89
Norvege,0.014,90.54,17.34,92.18
Nile-Zelande,0.005,54.93,44.71,70.73
Panama,0.025,72.26,88.05,71.18
Pays-Bas,0.011,64.54,58.7,71.47
Péru,0.017,87.99,83.25,57.56
Philippines,0.028,23.56,26.71,13.58
Pologne,0.014,63.28,53.19,80.92
RFA,0.033,66.2,28.84,72.05
Royaume-Uni,0.034,51.58,68.17,75.08
Salvador,0.037,94.29,83.58,44.29
Sud-Vietnam,0.039,78.77,58.44,71.5
Suede,0.032,96.68,34.12,94.79
Suisse,0.035,99.66,35.96,93.28
Taiwan,0.029,17.03,57.76,60.22
Uruguay,0.038,39.89,77.74,66.79
Venezuela,0.025,57.96,31.34,52.98
Yougoslavie,0.008,52.18,22.97,56.43
